Friday_of_Week,NFCI
5/17/85,-0.431881276
5/24/85,-0.45388648
5/31/85,-0.469345314
6/7/85,-0.476785036
6/14/85,-0.475266185
6/21/85,-0.465512964
6/28/85,-0.447857443
7/5/85,-0.424230713
7/12/85,-0.395684073
7/19/85,-0.362850231
7/26/85,-0.326694663
8/2/85,-0.289062941
8/9/85,-0.251159741
8/16/85,-0.215101779
8/23/85,-0.18323755
8/30/85,-0.157869669
9/6/85,-0.140886797
9/13/85,-0.134101861
9/20/85,-0.13905158
9/27/85,-0.154684994
10/4/85,-0.180289319
10/11/85,-0.212499404
10/18/85,-0.247691407
10/25/85,-0.2820066
11/1/85,-0.31162934
11/8/85,-0.333518883
11/15/85,-0.346124219
11/22/85,-0.34839824
11/29/85,-0.341824044
12/6/85,-0.32858726
12/13/85,-0.311453622
12/20/85,-0.293995555
12/27/85,-0.277700186
1/3/86,-0.266300299
1/10/86,-0.260027116
1/17/86,-0.259317263
1/24/86,-0.263877086
1/31/86,-0.272987229
2/7/86,-0.284078028
2/14/86,-0.295429015
2/21/86,-0.305736053
2/28/86,-0.314413388
3/7/86,-0.321842283
3/14/86,-0.329358731
3/21/86,-0.338167615
3/28/86,-0.350153742
4/4/86,-0.367166689
4/11/86,-0.38817774
4/18/86,-0.411772531
4/25/86,-0.43631914
5/2/86,-0.458414309
5/9/86,-0.476047595
5/16/86,-0.48757542
5/23/86,-0.492299906
5/30/86,-0.490611219
6/6/86,-0.483785668
6/13/86,-0.473589576
6/20/86,-0.463619824
6/27/86,-0.457810254
7/4/86,-0.458504213
7/11/86,-0.466694891
7/18/86,-0.483041518
7/25/86,-0.505866619
8/1/86,-0.531913164
8/8/86,-0.557346139
8/15/86,-0.57980501
8/22/86,-0.59566354
8/29/86,-0.602915897
9/5/86,-0.601630774
9/12/86,-0.592319469
9/19/86,-0.579746867
9/26/86,-0.566352299
10/3/86,-0.55516498
10/10/86,-0.548644368
10/17/86,-0.547332527
10/24/86,-0.549692494
10/31/86,-0.554481754
11/7/86,-0.560161591
11/14/86,-0.564715753
11/21/86,-0.565572236
11/28/86,-0.562608337
12/5/86,-0.555557138
12/12/86,-0.545670228
12/19/86,-0.533612086
12/26/86,-0.521038718
1/2/87,-0.511572276
1/9/87,-0.504259384
1/16/87,-0.500077372
1/23/87,-0.498295316
1/30/87,-0.497619114
2/6/87,-0.495265599
2/13/87,-0.488071013
2/20/87,-0.472451854
2/27/87,-0.447125482
3/6/87,-0.408786646
3/13/87,-0.353245801
3/20/87,-0.278795887
3/27/87,-0.185686246
4/3/87,-0.075099561
4/10/87,0.046753332
4/17/87,0.174217958
4/24/87,0.297843038
5/1/87,0.40736828
