"date","PCE","Consumption_logdiff","INDPRO","Output_logdiff","MORTGAGE30US","LOANINV","CreditSupply_logdiff","CSUSHPISA","HousePrice_logdiff"
2001-01-01,6987.4,0.00505037085975069,91.902,-0.00477086935092341,7.0325,4901.6794,0.00729246377837001,109.848,0.00645696775981808
2001-02-01,7001.8,0.00205873174821214,91.3034,-0.00653476513437035,7.05,4905.0182,0.000680922419592278,110.502,0.00593602832207374
2001-03-01,6996.7,-0.000728649530397973,91.1162,-0.00205241175524229,6.952,4914.6812,0.00196808532021286,111.11,0.00548708125439301
2001-04-01,7004.2,0.00107135980078077,90.7891,-0.00359638067233892,7.0775,4933.1814,0.00375720550027125,111.652,0.0048661896511728
2001-05-01,7052.8,0.00691473196906855,90.3555,-0.00478734478563059,7.145,4952.3816,0.00388449785675604,112.163,0.00456627918504804
2001-06-01,7069.7,0.00239334509712563,89.8784,-0.00529424391733802,7.16,4951.6782,-0.000142042761330785,112.797,0.00563657253346683
2001-07-01,7082.3,0.00178066751403527,89.3028,-0.0064248032714529,7.1275,4949.7698,-0.000385478977142029,113.492,0.00614260689019996
2001-08-01,7121.7,0.00554774726172091,89.2003,-0.0011484395650907,6.95,4947.6508,-0.000428192378198133,114.168,0.00593869794228485
2001-09-01,7007,-0.0162368115808338,88.7485,-0.00507787600476384,6.8175,5026.841,0.0158788769374159,114.813,0.00563367009428273
2001-10-01,7212.9,0.0289614401801099,88.5052,-0.00274521945434181,6.6175,5001.04,-0.00514586420281837,115.31,0.0043194358906522
2001-11-01,7182.3,-0.00425142354260011,87.97,-0.00606546008531872,6.658,5029.3766,0.00565014924409013,115.856,0.00472388686344072
2001-12-01,7166.7,-0.00217436840842566,87.9324,-0.000427509807400916,7.065,5066.1907,0.00729315393274632,116.453,0.00513971748171649
2002-01-01,7184.6,0.00249454882586342,88.5176,0.00663306484117054,6.9975,5045.979,-0.00399750548397648,117.143,0.00590765258625492
2002-02-01,7225.2,0.00563506883292142,88.5278,0.000115224682609494,6.8925,5056.5177,0.00208635630097476,117.845,0.00597479095391407
2002-03-01,7243.4,0.00251579414723047,89.1686,0.00721233269492316,7.014,5070.5593,0.0027730823016956,118.688,0.00712799963882915
2002-04-01,7312.5,0.00949450313447819,89.604,0.00487100216567882,6.985,5077.9269,0.0014519606469694,119.613,0.00776332995458073
2002-05-01,7288.9,-0.00323256955506857,89.964,0.00400962846736075,6.806,5083.1369,0.00102548326811558,120.725,0.0092537004978448
2002-06-01,7322.5,0.00459915671684641,90.7061,0.00821501923644785,6.65,5115.0831,0.00626507459021575,121.814,0.00898005943954061
2002-07-01,7387.3,0.00881050988795273,90.6769,-0.000321970639499902,6.485,5137.9565,0.00446178671661102,122.888,0.00877808024769866
2002-08-01,7412.6,0.00341894535026555,90.5762,-0.0011111535235635,6.29,5197.3036,0.0114845203157401,123.832,0.00765243682473127
2002-09-01,7391.5,-0.00285056359896352,90.6531,0.000848648696599064,6.0925,5255.1997,0.0110780528715289,124.781,0.00763439248377562
2002-10-01,7435.2,0.0058947879895701,90.4643,-0.00208483633693479,6.1125,5334.3045,0.0149405052348062,125.736,0.0076242700186766
2002-11-01,7463.8,0.00383918855343524,90.9711,0.00558657591731837,6.068,5394.9307,0.011301242655918,126.671,0.00740870321944254
2002-12-01,7519.9,0.00748817209897723,90.4652,-0.00557662729091923,6.0475,5457.6912,0.0115660897841288,127.625,0.00750310249135921
2003-01-01,7541.3,0.00284174095042822,91.2361,0.00848540572389922,5.916,5471.8388,0.00258887763733284,128.462,0.00653686427235112
2003-02-01,7548.6,0.000967534651584501,91.3445,0.00118742092792701,5.8425,5511.1348,0.00715583395052555,129.357,0.00694288314813285
2003-03-01,7611.5,0.00829814591416955,91.1044,-0.00263197134762816,5.745,5540.6605,0.00534316270679014,130.148,0.0060962405328242
2003-04-01,7634.5,0.00301718712425725,90.5617,-0.00597471530908589,5.8125,5586.415,0.00822404015913847,130.885,0.00564681062057026
2003-05-01,7650.3,0.00206741411437505,90.537,-0.0002727794308095,5.484,5646.77,0.0107459426318446,131.736,0.00648084485698952
2003-06-01,7699.6,0.00642351670253838,90.6527,0.00127711471155134,5.23,5693.8031,0.00829470772771757,132.65,0.00691416066805051
2003-07-01,7757,0.00742728205039178,91.1185,0.00512513555059879,5.6325,5731.1281,0.00653397944183176,133.777,0.00846015397840905
2003-08-01,7852.1,0.0121853504331444,90.9197,-0.00218415781997461,6.264,5734.2936,0.000552182058935813,134.968,0.0088634787415165
2003-09-01,7853.7,0.000203746387390069,91.5059,0.00642675170213902,6.1475,5729.4309,-0.000848363076354275,136.295,0.00978394094017965
2003-10-01,7867.4,0.00174288102842368,91.6186,0.00123085675841761,5.952,5699.9422,-0.00516017198421181,137.533,0.0090422340673797
2003-11-01,7922.6,0.00699179542390738,92.2329,0.00668259204919686,5.9325,5726.7553,0.0046930706291981,138.795,0.00913413605787028
