"X01" "X02" "X03" "X04" "X05" "X06" "X07" "X08" "X09" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30" "X31" "X32" "X33"
-0.342 4.91 0.004232797 -0.04746511 -0.001831838 0.021960569 0.071504406 3.4194 1.38499562175 3.69062422283015 0.0050465272654198 -0.92 4.14 0.011477866 0.06660445 -0.01366091 0.020802625 0.063802837 3.4194 1.3287552032 3.63969495889869 0.0064348314577289 -0.234 3.51 0.023627245 0.040801827 -0.014981554 0.021050869 0.061234057 3.5392 1.1093936 3.84444334634582 0.00015270672702794
-0.92 4.14 0.011477866 0.06660445 -0.01366091 0.020802625 0.063802837 3.4194 1.3287552032 3.63969495889869 0.0064348314577289 -0.234 3.51 0.023627245 0.040801827 -0.014981554 0.021050869 0.061234057 3.5392 1.1093936 3.84444334634582 0.00015270672702794 -0.086 3.3 0.010041392 0.018225924 -0.011671623 0.019165394 -0.024803039 3.5392 0.72473976125 3.95151754040204 0.0024020600626033
-0.234 3.51 0.023627245 0.040801827 -0.014981554 0.021050869 0.061234057 3.5392 1.1093936 3.84444334634582 0.00015270672702794 -0.086 3.3 0.010041392 0.018225924 -0.011671623 0.019165394 -0.024803039 3.5392 0.72473976125 3.95151754040204 0.0024020600626033 0.252 3.83 0.006891816 0.023486284 -0.008146099 0.017602367 -0.023442231 3.5392 0.415822556 3.75681382900359 0.0161302959018185
-0.086 3.3 0.010041392 0.018225924 -0.011671623 0.019165394 -0.024803039 3.5392 0.72473976125 3.95151754040204 0.0024020600626033 0.252 3.83 0.006891816 0.023486284 -0.008146099 0.017602367 -0.023442231 3.5392 0.415822556 3.75681382900359 0.0161302959018185 -0.104 4.17 0.009956078 0.01016175 -0.001637213 0.018479875 -0.025285054 3.3858 0.208588988 3.50731301668052 0.0029186176003412
0.252 3.83 0.006891816 0.023486284 -0.008146099 0.017602367 -0.023442231 3.5392 0.415822556 3.75681382900359 0.0161302959018185 -0.104 4.17 0.009956078 0.01016175 -0.001637213 0.018479875 -0.025285054 3.3858 0.208588988 3.50731301668052 0.0029186176003412 -0.115 4.27 0.000138223 -0.01016175 -0.002219328 0.004670253 -0.02792711 3.3858 0.0478192342499999 3.30767731878412 0.004994233480787
-0.104 4.17 0.009956078 0.01016175 -0.001637213 0.018479875 -0.025285054 3.3858 0.208588988 3.50731301668052 0.0029186176003412 -0.115 4.27 0.000138223 -0.01016175 -0.002219328 0.004670253 -0.02792711 3.3858 0.0478192342499999 3.30767731878412 0.004994233480787 -0.05 4.46 0.002644383 0.002781643 -0.002805322 0.004803123 -0.029500395 3.3858 0.1026656696 3.00693535088996 0.0032292216692484
-0.115 4.27 0.000138223 -0.01016175 -0.002219328 0.004670253 -0.02792711 3.3858 0.0478192342499999 3.30767731878412 0.004994233480787 -0.05 4.46 0.002644383 0.002781643 -0.002805322 0.004803123 -0.029500395 3.3858 0.1026656696 3.00693535088996 0.0032292216692484 0 4.55 -0.001117924 -0.007434978 0.00406033 0.004626321 -0.029232147 3.6128 0.297987411 3.06561578260238 0.0073474088589704
-0.05 4.46 0.002644383 0.002781643 -0.002805322 0.004803123 -0.029500395 3.3858 0.1026656696 3.00693535088996 0.0032292216692484 0 4.55 -0.001117924 -0.007434978 0.00406033 0.004626321 -0.029232147 3.6128 0.297987411 3.06561578260238 0.0073474088589704 0 4.81 0.013837266 0.034833953 -0.007456578 0.002110776 0.012070332 3.6128 0.23235389225 3.06639024155055 0.0053564350104
0 4.55 -0.001117924 -0.007434978 0.00406033 0.004626321 -0.029232147 3.6128 0.297987411 3.06561578260238 0.0073474088589704 0 4.81 0.013837266 0.034833953 -0.007456578 0.002110776 0.012070332 3.6128 0.23235389225 3.06639024155055 0.0053564350104 0 4.87 0.00794846 -0.014519311 -0.00233554 0.00210633 0.011793298 3.6128 -0.0317959132 3.37473522048912 0.001718244888714
0 4.81 0.013837266 0.034833953 -0.007456578 0.002110776 0.012070332 3.6128 0.23235389225 3.06639024155055 0.0053564350104 0 4.87 0.00794846 -0.014519311 -0.00233554 0.00210633 0.011793298 3.6128 -0.0317959132 3.37473522048912 0.001718244888714 0 5.05 0.012622192 0.001826485 0.006216026 0.002034168 0.011156673 3.6999 -0.16404841875 3.33109017496636 0.0163753976165232
0 4.87 0.00794846 -0.014519311 -0.00233554 0.00210633 0.011793298 3.6128 -0.0317959132 3.37473522048912 0.001718244888714 0 5.05 0.012622192 0.001826485 0.006216026 0.002034168 0.011156673 3.6999 -0.16404841875 3.33109017496636 0.0163753976165232 0.036 5.06 0.01175305 0.048963941 0.004540413 0.019554714 -0.01778055 3.6999 -0.226357607 3.42495323068066 0.0039091268601452
0 5.05 0.012622192 0.001826485 0.006216026 0.002034168 0.011156673 3.6999 -0.16404841875 3.33109017496636 0.0163753976165232 0.036 5.06 0.01175305 0.048963941 0.004540413 0.019554714 -0.01778055 3.6999 -0.226357607 3.42495323068066 0.0039091268601452 -0.027 5.33 0.011079357 0.020637018 -0.001639898 0.018566659 -0.017235636 3.6999 -0.2629051814 3.349419465813 0.0038225936549411
0.036 5.06 0.01175305 0.048963941 0.004540413 0.019554714 -0.01778055 3.6999 -0.226357607 3.42495323068066 0.0039091268601452 -0.027 5.33 0.011079357 0.020637018 -0.001639898 0.018566659 -0.017235636 3.6999 -0.2629051814 3.349419465813 0.0038225936549411 0.279 5.94 0.007203618 0.007630389 -0.003966148 0.018830134 -0.017832303 3.7609 0.0359756394999999 3.23578396383535 0.0097225945073167
-0.027 5.33 0.011079357 0.020637018 -0.001639898 0.018566659 -0.017235636 3.6999 -0.2629051814 3.349419465813 0.0038225936549411 0.279 5.94 0.007203618 0.007630389 -0.003966148 0.018830134 -0.017832303 3.7609 0.0359756394999999 3.23578396383535 0.0097225945073167 0.225 6.58 0.014195218 -0.036117425 -0.041763441 0.014575595 -0.094519576 3.7609 0.66186922375 3.36998767655703 0.006125485603833
0.279 5.94 0.007203618 0.007630389 -0.003966148 0.018830134 -0.017832303 3.7609 0.0359756394999999 3.23578396383535 0.0097225945073167 0.225 6.58 0.014195218 -0.036117425 -0.041763441 0.014575595 -0.094519576 3.7609 0.66186922375 3.36998767655703 0.006125485603833 0.064 7.09 0.000487766 -0.01588736 -0.03078745 0.012984904 -0.093616058 3.7609 1.18037426 3.9568345323741 0.0012977221539585
0.225 6.58 0.014195218 -0.036117425 -0.041763441 0.014575595 -0.094519576 3.7609 0.66186922375 3.36998767655703 0.006125485603833 0.064 7.09 0.000487766 -0.01588736 -0.03078745 0.012984904 -0.093616058 3.7609 1.18037426 3.9568345323741 0.0012977221539585 -0.063 7.12 -0.001472972 -0.018860011 0.00020842 0.014182166 -0.113544112 3.7723 1.2309105615 4.56994328922495 -0.0039334180095251
